,POSITIVE,NEGATIVE
termed,1,0
icecold,0,1
gamesmanship,0,1
underused,1,0
bewilderment,5,1
spurt,3,2
brit,9,0
minimystery,1,0
exercício,1,0
lógica,1,0
técnica,2,0
narrativa,7,0
unpersuaded,0,1
brillantemente,1,0
dirigida,1,1
tremendamente,1,0
innovadora,1,0
literalmente,1,0
dejarán,1,0
ojo,1,0
cuadrado,1,0
jackhammer,1,2
brillianta,1,0
amnesiac,4,0
rubiks,1,0
cube,2,2
suspectsthe,0,1
brainteaser,3,0
maravillosa,1,0
clásico,1,0
reseña,1,0
castellano,1,0
twistiest,1,0
itchy,2,0
criticized,2,1
duplicituous,1,0
twizzler,1,0
parking,1,2
gris,0,1
handspring,1,0
visor,1,0
attachment,4,2
gym,1,2
1998,2,0
jawdropper,2,0
trustworthiness,1,0
unadventurous,1,1
amnesia,2,1
instability,3,0
inspection,2,1
debated,4,0
timeslicing,0,1
timepiece,2,0
synchronized,2,0
filmfestival,1,0
trippiest,1,0
dataretrieval,1,0
titillating,2,3
rightleft,1,0
crossword,1,1
bthriller,1,0
jorge,1,0
borges,1,0
outlandishly,2,1
mindblowingly,2,2
allabsorbing,1,0
trumpeted,0,1
prank,2,4
keepsake,1,0
attendance,3,0
einsteincaliber,1,0
delectably,1,0
messing,3,2
headscratchingly,1,0
splitsecond,2,0
redefining,5,0
eisenberg,16,0
fincher,47,0
seeded,2,0
rosebud,2,1
jealousy,6,0
perfectionism,4,0
meticulousness,2,0
insensitive,1,2
finchers,24,0
tastiest,1,0
coding,4,0
deposition,2,0
sorkins,10,0
supervillain,1,0
plainview,2,0
dweeby,1,0
programmer,1,0
drank,2,0
rivalrous,1,0
courtroomstyle,1,0
contention,3,0
mezrichs,1,0
zuckerberg,15,0
opportunist,2,0
entrepreneur,3,0
wildfire,1,0
site,9,3
newmedia,1,0
insensitivity,2,1
zuckerbergs,8,0
superbowl,0,2
enviably,1,0
repellently,2,0
treacherous,2,0
multibilliondollar,1,0
lawsuit,1,1
transmuted,1,0
lowstakes,4,0
weepie,4,1
collegemovie,1,0
timberlake,2,0
napster,2,0
shyster,1,0
saverin,1,0
unprepossessing,1,0
facebookization,0,1
squandering,1,3
drivel,1,8
hotblooded,1,0
cucumbercool,1,0
curlicue,2,0
geared,4,2
screwed,2,0
techy,1,0
periphery,2,0
timehonored,2,0
reorder,1,0
raf,2,1
zeroed,0,1
2010′s,1,0
likeminded,2,0
wordlessly,1,0
mischievousness,1,0
biased,3,1
cyberthriller,1,0
socializing,1,0
eisenbergs,6,0
networking,1,0
retarded,1,2
scanning,1,0
addicted,2,1
epitomises,2,0
culminate,3,0
contentious,5,0
downloads,1,0
controlaltdelete,1,0
emergence,3,0
scarily,4,0
artimitatinglife,1,0
networknothing,1,0
debateable,1,0
inventor,4,0
megabit,1,0
hábil,1,0
guión,1,1
dinámica,1,0
dirección,1,0
logran,1,0
relato,1,0
entretenido,2,0
ofrece,1,0
visión,1,0
ambigua,1,0
aunque,2,0
piadosa,1,0
creador,1,0
eradefining,2,0
anticharismatic,0,1
homoerotic,1,2
adopts,4,0
inverts,1,0
nabbing,2,0
complicit,2,0
500,2,2
gekkos,1,0
icky,3,2
icy,4,2
noone,3,1
founding,5,0
botón,1,0
gusta,1,0
presionado,1,0
muchas,2,0
fuerza,1,0
interneteras,1,0
postadolescence,1,0
sociallymaladjusted,1,0
governed,1,0
barsdinersclubs,1,0
sedentary,2,0
jabber,1,0
iskind,1,0
intentional,2,3
simpose,1,0
comme,2,0
majeure,1,0
décennie,1,0
pourtant,1,0
commencer,1,0
founder,4,0
dumped,2,0
emboldened,4,0
bothersome,3,0
offit,1,0
excitingand,1,0
controlling,3,0
napoleon,4,0
togs,1,0
millenials,1,0
decadesspanning,1,0
compressed,2,1
exgirlfriend,1,0
erica,1,0
sled,1,0
lustrous,2,0
kickinthehead,1,0
hacking,3,0
blogging,1,0
logged,1,0
cutthroat,3,0
gab,2,0
misogynist,1,1
billionaire,5,0
oscarbait,5,0
canyonlike,1,0
boomer,1,0
yers,1,0
finchercrafts,1,0
analyzes,1,0
probable,4,0
friending,1,0
glorification,1,3
groundswellof,1,0
upended,1,0
preweb,1,0
daylewis,7,1
occupant,1,0
embodied,11,2
zeitgeistsavvy,1,0
clayton,3,0
staccato,1,0
fatal,4,10
buzzy,3,0
frontpage,1,0
app,1,0
topicality,2,1
collegiate,2,0
newstyle,2,1
playbook,5,2
hallelujah,3,0
preliminary,1,0
logarithm,1,0
geekspeak,1,0
speededup,1,0
cronenweth,1,0
trent,6,0
reznor,5,0
atticus,6,0
meteoric,3,0
nearfall,1,0
hyperbrainy,1,0
ecommerce,1,0
selfpromotional,1,0
reznors,1,0
overlying,1,0
fincherwho,2,0
informationoverload,2,0
zodiacis,2,0
deadend,2,0
diint,1,0
jersey,2,0
rockefeller,2,0
carnegie,1,0
vanderbilt,1,0
tycoon,1,0
validated,2,0
hyperalert,1,0
tremulous,1,0
misshapen,2,1
affectless,3,0
instantaneous,1,0
nonfacetoface,1,0
facebooks,3,0
propel,9,1
oliver,12,3
jerkwads,1,0
oscarlevel,1,0
marla,1,0
yakking,1,0
intellectualproperty,1,0
remorselessly,1,0
implacable,9,0
se7en,1,1
relegates,1,1
hacked,1,1
multiplying,1,0
uncontrollably,1,0
hughes,4,0
versa,5,0
inconclusive,2,2
undergoing,3,0
beset,2,0
apps,1,0
squid,4,0
caffeinated,1,1
cocksure,1,0
cavalier,1,3
dumbed,2,2
sexed,0,1
ivy,0,3
med,0,1
hypercapitalist,0,1
infomercial,1,1
ceaseless,2,1
yammering,1,1
ribtickling,1,0
blindsides,1,0
fakesmart,0,1
speciousness,0,1
ruthlessness,0,2
typing,1,1
keyboard,1,0
snooping,1,0
firstperson,2,0
conversationprovoking,1,0
overtime,3,0
orchestration,3,0
flashforwards,1,0
sparring,5,0
detachedyetconnected,1,0
dissolved,2,0
directive,4,0
communicates,9,0
gearchange,1,0
writerly,1,0
subscriber,2,0
ruled,2,1
emits,1,0
reverberation,5,1
writergod,1,0
lacing,3,0
coruscating,1,0
ascendancy,1,0
acidtongued,1,0
fasttwitch,1,0
wilt,2,0
tainted,6,1
gospel,1,0
rashomonlike,2,0
delineating,1,0
almostgreat,1,0
indecently,2,0
bewildering,3,1
extraordinaire,2,0
chronicler,1,0
bigelow,38,2
reapplies,1,0
wispiness,1,0
apolitical,1,1
nonpartisan,0,1
unsavory,0,2
prowar,1,2
proimperialist,0,1
jeremy,8,1
renner,10,1
mackie,4,0
drunken,2,1
boozy,1,0
tensionfilled,6,0
tripwire,1,0
goforbroke,4,1
consumerist,0,1
bigelows,23,2
powerpacked,1,0
kathryn,25,2
gutwrenching,19,1
warlike,1,0
boal,7,0
patrol,1,0
narrates,3,0
sunbleached,2,0
roams,1,0
spotter,1,0
ply,0,1
standby,0,2
deskbound,0,1
commander,1,1
bestmade,5,0
disconcertingly,1,0
waged,1,0
plunging,5,0
preamble,2,0
merciless,7,0
ied,1,0
bomber,1,0
sniper,3,0
defusing,4,0
iraqi,3,1
observational,10,0
boals,3,0
baghdad,7,0
latent,6,0
overseas,4,1
fulsome,1,0
stub,1,0
biter,1,0
gnawed,3,0
slop,1,2
maledominated,2,0
wireyellow,1,0
structuralist,1,0
dismantling,2,0
deviceand,1,0
highanxiety,1,0
humankind,10,2
debacle,2,2
runngun,1,0
pulsequickening,3,0
containment,1,0
powerpoints,1,0
bombdisposal,1,0
stationed,1,0
stupidie,0,1
neutrally,0,1
bravadofueled,1,0
defusers,1,0
diffuse,1,0
enveloped,2,1
wellman,1,0
salta,1,0
seqüência,1,0
fluidez,2,0
mantendo,1,0
inquieto,1,0
graças,3,0
obstáculos,1,0
vez,2,0
ameaçadores,1,0
enfrentados,1,0
equivalente,1,0
cinematográfico,1,0
bomba,1,1
tiempo,3,0
luce,1,0
suspenso,1,0
extremo,1,0
ambientado,1,0
irak,1,0
adrenalina,1,0
pura,1,0
cuestionamientos,1,0
excelente,3,0
elenco,4,0
sentimentalizing,1,0
editorializing,2,0
hedge,1,1
verité,2,0
targeting,2,0
kathryns,1,0
approximates,3,0
obligatoria,1,0
dura,1,0
capaz,2,0
tenernos,1,0
estómago,1,0
encogido,1,0
butaca,1,0
durante,2,0
trata,2,0
debería,1,0
perderse,1,0
endorsement,4,1
muddyheaded,0,1
posttraumatic,2,1
ordnance,1,0
eyelevel,1,0
wartorn,2,1
offputting,4,4
palliative,2,1
barebones,1,3
supersharp,1,0
eked,1,0
edgeoftheseat,5,0
wilderness,10,12
quasipolitical,1,0
adrenalinedrenched,1,0
challenger,1,0
adrenalinerush,1,0
surf,3,1
enquiry,2,0
reincarnated,2,1
clicheridden,1,3
sued,0,2
cred,2,1
officeexcept,1,0
slang,1,1
sensitizes,1,0
furthering,1,0
maximize,1,0
truism,2,1
showoff,3,0
curse,7,2
lowperforming,1,0
impartial,1,0
beyondtheheadlines,1,0
journalistturnedscreenwriter,1,0
sermon,7,1
servicing,1,0
neardisaster,2,0
tautness,1,0
defuse,1,0
particularity,2,0
sweatinducing,2,0
opacity,1,1
wellinformed,1,0
redwirebluewire,1,0
replaces,3,2
parse,1,0
misreading,2,0
hybridization,1,0
mashing,2,0
bruise,4,0
solder,1,0
crosshairs,1,0
boalhave,1,0
supersmart,2,0
c4,2,0
pictureone,1,0
thrillseeker,1,0
pumpedup,3,0
hose,1,0
sortofthriller,1,0
timewise,1,0
miniature,3,2
austere,12,0
holdyourbreath,2,0
jitteriness,1,0
ratch,1,0
retroengineered,1,0
stageplay,1,0
eligible,2,0
forsakes,1,0
fund,1,3
chickenhawk,1,0
poohpoohs,1,0
departing,1,0
toughasnails,1,0
newscast,1,0
bloomfield,1,0
haditha,1,0
irwin,2,0
winklers,1,0
iraqset,1,0
paralysis,4,0
kineticist,1,0
impressionistic,5,0
phallus,1,0
jostle,1,0
heartinthroat,1,0
waistband,1,0
oprahs,1,0
skinny,2,0
viet,1,0
nam,2,0
numbed,3,0
actiondriven,1,0
tightlyfocused,1,0
everincreasing,1,0
ackroyd,1,0
gutchurning,1,0
muscularly,1,0
weakened,2,2
gruntsinthefiringline,0,1
distorts,1,0
precivil,4,0
mcqueen,61,1
proficiently,1,0
civilization,10,3
descend,2,1
demanded,4,0
solomon,16,6
northups,9,1
ejiofor,23,1
daunder,1,0
garnering,2,2
oscarwinner,3,0
clung,1,0
sparsely,2,1
statue,5,1
tomatometer,1,0
pieced,4,1
whitewashed,3,0
northup,8,1
tyranny,6,1
dehumanisation,0,1
ejiofors,10,0
erodes,1,0
birector,1,0
bondage,6,0
trapdoor,1,0
abrupt,9,2
monopolize,1,0
involuntary,1,2
134,1,0
paindiminishing,1,0
sadism,5,4
openended,2,0
artschool,1,0
heartless,3,4
fainthearted,1,0
incite,3,0
assuaged,1,0
blunted,4,0
rote,5,7
apprehend,2,0
chiwetel,11,1
fluent,4,1
institutionalised,1,0
1853,1,0
depletive,1,0
avoidance,3,0
quentin,31,3
saintly,2,2
coursing,4,0
fibre,1,0
shirk,2,0
accumulative,1,0
seize,2,0
deeplyaffecting,1,0
dehumanized,1,0
helplessness,1,0
incoherence,1,8
extract,11,1
munching,1,0
lupita,7,0
nyongo,8,0
epicenter,1,0
selfcontrol,2,0
fassbender,5,0
epps,2,2
felicity,2,0
careerdefining,10,0
racistas,1,0
preconceito,1,0
exercemos,1,0
maneira,1,0
ativa,1,0
intolerncia,1,0
contra,1,1
diversas,2,0
minorias,1,0
mostramos,1,0
incapazes,1,0
perceber,2,0
sporadic,3,4
welljudged,2,0
rosetinted,2,0
myopia,1,0
unchaineds,2,0
goreandironysoaked,1,0
spectatorship,1,0
2011,12,2
pitofthestomach,1,0
venturing,2,0
queasymaking,1,0
wellintended,3,0
freeborn,1,0
cert,2,0
gradation,3,0
unbound,1,0
dramatist,2,1
enthral,2,0
appal,1,0
artistturneddirector,1,0
bayou,2,0
infernalised,1,0
surrealised,1,0
skewed,6,0
pictured,1,0
milky,3,1
fictionalising,1,0
nyongos,1,0
patsey,2,0
anonymous,3,2
imnotreallylikethis,1,0
northrups,2,0
unbowed,2,0
ennobling,1,0
strengthening,1,0
naturefategod,1,0
wickedness,2,0
hostel,0,1
painjust,0,1
chattel,1,0
travesty,1,5
soulcrushing,1,2
assaulted,2,0
signifying,4,2
fiddling,2,0
declaratory,1,0
adaption,2,0
shamefully,1,1
hellishness,1,0
1840s,1,0
addressed,4,1
antislavery,0,1
absolve,2,0
countered,2,0
plantation,1,0
guttural,1,0
manifestnot,1,0
quashed,1,0
morass,3,2
passively,3,0
judgmental,1,0
justthefacts,1,0
perversity,8,0
festered,1,0
slaveholder,1,0
antithetical,2,0
unending,5,0
preabolition,1,0
bargained,1,0
drape,2,1
sledgehammer,7,2
burying,1,1
northupps,1,0
intimidating,2,2
angered,1,0
stillongoing,1,0
caricaturesascharacters,0,1
overprettified,0,1
muddledsome,1,0
celtic,1,0
fanfare,3,1
merged,1,1
133minute,1,0
mid19th,1,0
preoscar,1,0
scab,1,0
staggered,1,0
mandingo,1,0
classroom,5,3
documentarians,2,0
filmthis,1,0
daylight,3,0
culturea,1,0
seeped,2,0
deformity,1,0
seenimportant,1,0
upsettingits,1,0
soulsickening,1,0
plainfaced,1,0
evenness,1,0
captive,7,1
vise,5,0
outstandingbrave,1,0
blooddrenched,3,0
indicts,1,0
freedomloving,1,0
gruesomely,5,0
smashingly,5,0
voicecold,1,0
deterministickeeps,1,0
transformationlike,1,0
windinspired,1,0
tomfoolery,3,0
drooping,1,0
kidnapping,3,3
legality,2,0
abu,2,0
ghraib,1,0
guantanamo,1,0
northrup,1,0
educated,3,0
p,17,2
morrison,7,1
filmruined,1,0
tremulously,1,0
strangles,2,0
deafening,3,1
obligated,2,0
mimetic,1,0
diegetic,1,0
scarlett,43,0
oharas,1,0
toughminded,3,0
unflinchingly,3,0
funnel,1,0
marquis,4,0
sade,3,0
slavemaster,1,0
dicapriotom,1,0
negatively,1,0
antiestablishment,4,0
sympathizing,1,0
abagnale,4,0
promptness,1,0
dicaprio,23,1
lightfooted,2,0
insubstantial,3,3
cartoonlike,2,0
snazzy,4,0
sellerspink,1,0
frailty,7,0
rup,1,0
bashing,4,1
supersedes,2,1
forsaking,3,0
reconciliacin,1,0
hanratty,1,0
oreilly,1,1
counterfeit,2,0
interaes,1,0
tornase,1,0
curiosa,1,0
perseguio,1,0
estudo,5,0
swingin,1,0
preceeding,1,0
entree,1,0
manufactura,1,0
nostlgica,1,0
muy,2,0
mejores,3,0
witted,1,0
liar,4,2
wellstructured,3,0
limber,2,0
canits,1,0
perfo,1,0
rediscovers,1,0
catandmouse,12,1
flecked,2,0
unconned,1,0
overmanipulative,1,0
cima,1,0
atrapa,1,0
nitpicking,1,0
brisker,1,0
overhyped,2,1
megastar,2,0
schlepping,1,0
ashtray,1,0
salesman,1,0
attracted,3,5
glitzy,4,1
2002s,2,1
pastelcolored,1,0
capped,5,1
petite,1,0
parasol,1,0
lonlieness,1,0
hijacking,1,0
sugarland,3,0
prsente,1,0
avec,3,0
lgret,1,0
effervescently,1,0
kidinacandystore,1,0
trumping,1,0
popreductionist,1,0
oppewall,1,0
janusz,1,0
kaminski,1,0
nearflawless,2,0
pantherstyle,1,0
abagnales,3,0
automatically,4,1
breeziest,2,0
goodtime,1,0
xmas,1,0
entertaining…,1,0
dishonesty,1,0
60sretro,1,0
lighterthanair,3,0
kandykolored,1,0
frothiest,1,0
subordinating,1,0
manufacturing,3,2
freespirited,5,0
mite,6,0
recharged,2,0
helmsman,1,0
glitz,1,0
stingybrimmed,0,1
herebut,2,0
longwindedness,2,0
212,2,0
marzipan,1,1
flatters,2,0
parry,1,0
genrehopping,0,1
martini,3,0
larcenous,1,0
lonelyboy,1,0
astaire,13,1
ginger,9,0
oncamera,1,0
fugitivesonthe,1,0
catandcat,1,0
soooooo,1,0
conned,2,0
wunderkind,2,1
gigantism,2,0
popinduced,1,0
resembles,13,11
autocritique,1,0
meditates,1,0
leak,2,2
sixtiesstyle,1,0
gee,1,2
early60s,1,0
skinnytiesandmartinis,1,0
hobbit,5,0
filmsquick,1,0
babycheeked,1,0
whereby,1,0
notthatmemorable,1,0
walken,2,0
irreproachable,2,0
roguish,3,0
howardesque,1,0
shellacking,1,0
gotcha,1,0
butchcassidystyle,1,0
spielbergisms,1,0
according,5,1
buzzer,6,1
frontier,14,1
inclined,9,4
unhammy,1,0
crippled,1,0
airliner,1,0
terrorized,1,0
offended,3,1
turnaway,1,0
bathing,1,1
tub,1,3
27yearold,1,1
botulism,1,0
bon,7,0
vivant,1,0
modem,2,2
sharkskin,1,0
rousingly,4,1
hurrahforhitch,1,0
sailboat,1,0
unsettle,1,0
verna,2,0
shaw,11,1
quint,1,0
scorned,1,0
esoteric,6,1
horroraction,0,3
cardboard,5,3
willbe,1,0
thrillerchiller,1,0
wellplotted,1,0
identified,2,1
filmcraft,2,0
foresight,2,0
imperceptible,1,0
trod,2,0
repugnancy,1,0
primordial,4,0
bloodied,2,1
hexed,1,0
dismembered,1,0
seahorse,1,0
arouse,1,0
hitchcocklike,1,0
promotional,2,2
civilianpanic,1,0
fiddle,2,0
1975,9,11
dreyfus,3,0
scheider,4,0
rivetingly,0,1
benchley,4,1
scaretactics,1,0
summery,3,0
sharkbitten,1,0
everamazing,1,0
gasped,3,0
tuba,1,0
welltooled,2,0
supermarket,2,0
salivates,1,0
tensed,2,0
nerverelieving,1,0
convulsed,1,0
apprehensive,2,0
subsurface,1,0
sunsoaked,3,0
coarsegrained,0,1
ashore,0,1
lumpily,0,1
spaced,3,0
moderate,4,0
justifiably,6,0
scheiders,1,0
chilled,1,0
enthrall,5,0
teethmarks,1,0
nearmythical,1,0
ahab,1,0
moby,2,0
dick,7,0
ryan,120,6
regrettably,1,1
macguffin,1,0
mosttheir,1,0
selfeffacingly,1,0
suddenness,1,0
subsequently,4,0
schedule,3,1
124minute,1,0
holidaymaker,1,1
clay…,1,0
granitejawed,1,0
antiauthoritarianism,2,0
apathy,2,2
summertime,5,1
blockbustera,1,0
facsimiled,1,0
leviathan,1,0
hollowness,2,2
scarethrillers,1,0
sealed,2,0
entertainer,4,17
launched,12,2
suspensehorrordisaster,1,0
escaped,12,1
bresson,21,0
heightens,6,0
epitomizes,5,1
ugliest,2,1
revolt,2,0
comprehension,1,1
prisonescape,2,0
bressons,12,0
imprisoned,3,0
cellmate,1,0
spartanly,1,0
antidramatic,1,0
preternaturally,1,1
ascetic,3,0
franois,1,0
leterrier,3,0
consists,3,2
meditational,1,0
mozart,3,0
reconstructs,1,0
escapedis,1,0
hasard,9,0
balthazar,15,0
mouchette,1,0
godhaunted,1,0
atheist,2,1
proclamation,1,3
fizzier,1,0
stomachcalming,1,0
seltzer,2,38
gratefully,3,0
evilness,1,0
toro,53,2
permanency,1,0
bewitchingly,2,0
garlanded,1,0
ofelia,3,0
ivana,1,0
baquero,3,0
nether,2,0
almostseamless,1,0
unfiltered,6,0
fantasymasterpiece,1,0
drawnoutness,1,0
timeperiod,1,0
overdrawn,1,0
vidal,1,0
fatherland,1,0
ghoul,4,0
fascism,5,1
animatronic,1,0
closeout,1,0
antifascist,2,0
politicalfabulist,1,0
ofelias,3,2
smock,0,1
swiped,0,1
faun,2,1
narnia,1,1
navarro,1,0
chitinous,1,0
intensify,1,0
falangist,1,0
rackham,1,0
goyaguillermo,1,0
minimasterpiece,2,0
ambicioso,1,1
convincente,0,1
cuento,0,1
hadas,0,1
reivindica,0,1
poder,0,1
vía,0,1
adversidad,0,1
arma,0,1
frente,0,1
intolerancia,0,1
starlight,1,1
blather,1,0
burtonesque,2,0
solidifying,2,0
storiesturnedlegends,1,0
fantasist,2,0
refuge,1,0
shield,5,0
screenwriterdirector,1,0
sympathetically,1,0
toad,1,0
slipper,3,0
enthrallingly,3,0
franco,6,1
francoamerican,0,1
saturn,1,0
devouring,1,1
progeny,3,0
tenebrous,2,0
highmindedness,1,0
gilliams,7,0
brazil,15,0
credence,1,0
await,3,2
r,6,2
restore,7,1
inexorable,2,0
frog,1,1
lynchs,2,0
thisworldly,1,0
prejudiced,2,0
unstinting,1,0
forgone,1,0
bathed,3,1
sensuously,2,0
ching,1,1
straightedge,1,0
snake,5,2
warmup,1,0
hellboy,1,0
incorruptible,1,0
deeptoned,1,0
supersaturated,1,0
pinocchio,5,17
adeptly,1,1
matteroffactness,1,0
distort,2,0
astonishes,3,1
disneyfication,1,0
admonishes,1,0
erices,1,0
modernist,4,0
harryhausens,1,0
sinbad,1,0
titillation,1,6
prominence,4,0
dreamscapes,1,0
unexpurgated,1,0
fold,6,0
origami,7,0
announcement,2,2
errs,1,0
topoftheposter,1,0
blurb,2,1
horrormeister,1,0
dreariness,1,1
fascistera,1,0
longago,2,0
espinha,1,0
diabo,2,0
força,1,0
inegável,1,0
poética,1,0
encerrandose,1,0
nota,1,0
ambígua,1,0
levará,1,0
refletir,1,0
acabou,1,0
fastexpanding,1,0
entwines,1,0
warmovie,2,0
juxtaposing,3,0
integrates,2,0
horrorfantasy,2,0
raking,1,1
unanimous,2,0
endofchildhood,1,0
unsweetened,1,0
karate,5,1
jan,3,3
svankmejer,1,0
disjunction,1,0
seenyou,1,0
lopez,2,2
maribel,1,0
verdú,1,0
ailing,1,0
pressburgers,2,0
powellpressburger,1,0
andersen,2,0
leonide,2,0
massine,2,0
uk,4,1
10th,1,0
directingproducing,1,0
emeric,3,0
pressburger,3,0
emotes,1,0
seriouslyas,1,0
shearer,5,0
calfeyed,0,1
underdone,1,1
moira,2,0
appetit,2,0
deployment,2,2
agonizingly,1,1
individualistic,1,0
threestrip,1,0
provocativea,1,0
fusion,10,1
melodramawith,1,0
ballerina,1,0
redder,1,0
drenches,1,0
archivist,1,0
rationed,1,0
cardiff,2,0
filthy,2,0
belíssimo,2,0
adapta,1,0
fábula,1,0
dimensões,1,0
enriquecendose,1,0
às,4,0
perfeitas,1,0
atuações,3,1
walbrook,1,0
fantástica,1,0
direção,4,1
magnífica,2,0
lushly,4,0
obeys,1,0
sparkly,3,0
offthebeatentrack,1,0
helpmann,1,0
contented,1,0
technicolored,1,0
otherwordly,1,0
trotted,1,0
eagle,2,0
austria,1,0
quickthinkers,1,0
traver,1,0
eisenhowerera,1,1
judicial,1,0
tec,1,0
ruffling,1,0
moralwatchdog,1,0
sleaziness,1,0
crimerelated,1,0
puncture,2,1
slackens,2,0
leavitt,1,0
remicks,1,0
saul,1,0
bass,2,0
nonchalantly,2,0
remick,2,0
gazarra,1,0
voelker,1,0
smokedrenched,1,0
lung,2,0
masterminded,1,0
histrionics,3,2
twohourandfortyminute,1,0
rupturing,1,0
hull,1,1
wolfgang,6,0
petersen,4,0
battled,1,0
abovesurface,1,0
crewman,1,0
petersens,5,0
haul,5,1
atlantic,4,0
bootthe,1,0
digest,6,0
agripping,1,0
uboat,3,0
subflick,1,0
wastefulness,2,0
ping,2,0
submarinebased,1,0
humanizes,5,0
cramped,3,0
maddening,9,2
ikiru,10,0
carpe,1,0
diem,1,0
—guest,1,0
kenji,1,0
fujishima,1,0
alteration,2,1
implemented,1,0
lassitude,1,0
bureaucracy,5,0
concedes,1,0
beauracracy,1,0
welllived,1,0
hock,0,1
discreet,12,0
shimuras,1,0
underlining,3,2
encircle,1,0
nelson,2,1
henderson,1,0
sapling,1,0
contentment,3,0
neorealists,1,0
xrays,1,0
roundshouldered,1,0
downcast,1,0
bureaucratic,4,0
ass,3,0
roberto,7,5
rossellini,6,0
inexorably,5,0
partisan,1,0
nonprofessionals,1,0
politicoreligious,1,0
ubaldo,1,0
aratas,1,0
collusion,2,0
aldo,1,0
fabrizi,2,0
ravaged,5,0
galvanic,2,0
regeneration,2,0
newsreellike,1,0
clearcut,2,0
journeyman,2,1
mussolini,2,0
inaugurated,1,0
banded,1,0
announcing,2,0
docustyle,2,0
fervor,4,0
unmediated,1,0
confrontational,4,0
shatters,6,0
pedra,1,0
neorealismo,2,0
italiano,2,0
magnani,1,0
quase,1,0
seis,1,0
dcadas,3,0
realizao,1,0
provoca,1,0
impacto,1,0
vrit,1,0
realest,1,0
gerwig,203,4
gerwigs,137,3
ronan,114,0
metcalf,14,0
greta,133,5
saoirse,74,0
ronans,30,0
cringingly,1,1
unsubstantial,1,0
solo,43,2
laurie,13,0
metcalfs,4,0
motherdaughter,7,1
worldviews,2,0
unflattering,3,0
stupendously,2,2
senior,4,2
eversoslightly,2,0
writerdirectoractress,1,0
schooler,1,0
irregular,1,0
lena,1,0
dunham,1,0
diablo,17,0
cody,29,0
juno,82,4
17yearold,3,0
christine,5,0
mcpherson,1,0
interred,1,0
resentfully,1,0
intoxication,1,0
processed,2,2
counterintuitive,3,0
angstriddled,2,0
fullyfledged,1,1
resonated,2,1
gracefulness,1,0
sagely,1,0
mum,3,0
intuitiveness,1,0
sacramento,7,0
untold,4,0
mumblecore,1,0
swanberg,1,0
noah,49,2
baumbach,84,3
anarchical,1,0
contrite,1,0
ruminated,1,0
nitpick,3,0
